Biofluido,Experiment,Metabolite,HMDB,Concentration_ASICS,Concentration_GS,Metodo,Diferenca_Absoluta,Erro_Percentual
Soro,20_1H,2-Picolinate,,0.0,,CSV,,
Soro,20_1H,Nicotinurate,,0.0,,CSV,,
Soro,20_1H,Homovanillate,,0.0,,CSV,,
Soro,20_1H,Threonate,,0.0,,CSV,,
Soro,20_1H,2-Deoxycytidine,,0.0,,CSV,,
Soro,20_1H,N-(2-Furoyl)Glycine,,0.0,,CSV,,
Soro,20_1H,Asparagine,HMDB00168,0.0,13.1,CSV,13.1,100.0
Soro,20_1H,Levulinate,,0.0,,CSV,,
Soro,20_1H,Vanillate,,0.0,,CSV,,
Soro,20_1H,Allantoin,,0.0,,CSV,,
Soro,20_1H,Glycolate,HMDB00115,0.0,,CSV,,
Soro,20_1H,Histidine,HMDB00177,0.0,29.9,CSV,29.9,100.0
Soro,20_1H,Adenosine,,0.0,,CSV,,
Soro,20_1H,Nicotinate,,0.0,,CSV,,
Soro,20_1H,Malonate,HMDB00691,0.0,,CSV,,
Soro,20_1H,Glutathione-reduced,,0.0,,CSV,,
Soro,20_1H,GDP,,0.0,,CSV,,
Soro,20_1H,Inosine,,0.0,0.0,CSV,0.0,
Soro,20_1H,Trigonelline,HMDB00875,0.0,,CSV,,
Soro,20_1H,NAD,,0.0,,CSV,,
Soro,20_1H,UDPG,,0.0,,CSV,,
Soro,20_1H,AMP,,0.0,,CSV,,
Soro,20_1H,Hypoxanthine,HMDB00157,0.0871915649766997,2.8,CSV,2.7128084350233,96.89
Soro,20_1H,Urocanate,HMDB00301,0.146449134409027,,CSV,,
Soro,20_1H,Acetaminophen,,0.246686620976212,,CSV,,
Soro,20_1H,Tryptophan,HMDB00929,0.391167928483864,,CSV,,
Soro,20_1H,Methylamine,,0.471423474158213,,CSV,,
Soro,20_1H,2-HydroxyphenylAcetate,,0.499814982794753,,CSV,,
Soro,20_1H,Quinolinate,,0.60014191163376,,CSV,,
Soro,20_1H,Dimethylamine,HMDB00087,0.788995449139363,,CSV,,
Soro,20_1H,CTP,,0.804152538073377,,CSV,,
Soro,20_1H,2-Oxobutyrate,,1.23255726026797,,CSV,,
Soro,20_1H,Phenylglyoxylate,,1.28892520209858,,CSV,,
Soro,20_1H,Adenine,,1.29995365878588,,CSV,,
Soro,20_1H,Hippurate,HMDB00714,1.75825350115474,,CSV,,
Soro,20_1H,Dimethylglycine,,1.95899654558534,,CSV,,
Soro,20_1H,Fumarate,,2.27564712820044,,CSV,,
Soro,20_1H,Dihydrothymine,,2.75172475403411,,CSV,,
Soro,20_1H,4-AminoHippurate,,2.99755723997052,,CSV,,
Soro,20_1H,Sarcosine,,3.2123546441747,,CSV,,
Soro,20_1H,Isocitrate,,3.78011397867619,,CSV,,
Soro,20_1H,dAMP,,4.2073294980037,,CSV,,
Soro,20_1H,Trimethylamine,,4.72442072653042,,CSV,,
Soro,20_1H,Creatinine,HMDB00562,4.81354790418786,14.8,CSV,9.98645209581214,67.48
Soro,20_1H,2-Deoxyadenosine,,5.87673537512496,,CSV,,
Soro,20_1H,Methylguanidine,,5.90696643897712,,CSV,,
Soro,20_1H,Anserine,,6.20996988854796,,CSV,,
