PPM,01RCF_ex1_p1,02RCF_ex1_p1,03RCF_ex1_p1,04RCF_ex1_p1,05RCF_ex1_p1
-4.834826549623086,-1039.9941105730404,0.0,0.0,2089.694496386728,0.0
-4.834727189901354,0.0,0.0,0.0,2089.694496386728,0.0
-4.83462783017962,0.0,0.0,0.0,2089.694496386728,0.0
-4.834528470457887,0.0,0.0,-718.3077593573039,2089.694496386728,0.0
-4.8344291107361546,0.0,0.0,-718.3077593573039,2089.694496386728,0.0
-4.834329751014421,0.0,0.0,-718.3077593573039,2089.694496386728,0.0
-4.834230391292687,0.0,0.0,-718.3077593573039,2089.694496386728,0.0
-4.834131031570953,0.0,0.0,-718.3077593573039,1985.2097715673917,0.0
-4.834031671849221,0.0,0.0,-718.3077593573039,1985.2097715673917,0.0
-4.833932312127487,0.0,0.0,0.0,1985.2097715673917,0.0
-4.8338329524057535,0.0,0.0,0.0,1985.2097715673917,0.0
-4.8337335926840215,0.0,0.0,0.0,1985.2097715673917,0.0
-4.833634232962288,0.0,0.0,0.0,1985.2097715673917,0.0
-4.833534873240554,-1039.9941105730404,0.0,-718.3077593573039,1985.2097715673917,0.0
-4.833435513518822,-1039.9941105730404,0.0,-718.3077593573039,1985.2097715673917,0.0
-4.833336153797088,-1039.9941105730404,0.0,-718.3077593573039,1985.2097715673917,0.0
-4.833236794075354,-1039.9941105730404,0.0,-718.3077593573039,1985.2097715673917,0.0
-4.83313743435362,-1039.9941105730404,0.0,-718.3077593573039,1985.2097715673917,0.0
-4.833038074631888,-1039.9941105730404,0.0,-718.3077593573039,1985.2097715673917,0.0
-4.832938714910155,-1039.9941105730404,0.0,-718.3077593573039,1985.2097715673917,0.0
-4.832839355188421,-1039.9941105730404,0.0,-718.3077593573039,1985.2097715673917,0.0
-4.832739995466689,-1039.9941105730404,0.0,-718.3077593573039,1985.2097715673917,0.0
-4.832640635744955,-1039.9941105730404,0.0,-718.3077593573039,1985.2097715673917,0.0
-4.832541276023221,-1039.9941105730404,0.0,-718.3077593573039,1985.2097715673917,0.0
-4.832441916301487,-1039.9941105730404,0.0,-718.3077593573039,1880.7250467480553,0.0
-4.832342556579755,-1039.9941105730404,0.0,-718.3077593573039,1880.7250467480553,0.0
-4.8322431968580215,-1039.9941105730404,0.0,-718.3077593573039,1880.7250467480553,0.0
-4.832143837136288,-1039.9941105730404,0.0,-718.3077593573039,1880.7250467480553,0.0
-4.832044477414556,-1039.9941105730404,0.0,-718.3077593573039,1880.7250467480553,0.0
-4.831945117692822,-1039.9941105730404,0.0,-718.3077593573039,1880.7250467480553,0.0
-4.831845757971088,-1039.9941105730404,0.0,-1436.6155187146078,1880.7250467480553,0.0
-4.831746398249354,-1039.9941105730404,0.0,-1436.6155187146078,1880.7250467480553,0.0
-4.831647038527622,-1039.9941105730404,0.0,-1436.6155187146078,1776.240321928719,0.0
-4.831547678805888,-1039.9941105730404,0.0,-2154.9232780719117,1776.240321928719,0.0
-4.831448319084155,-1039.9941105730404,-1288.7821441019933,-2154.9232780719117,1776.240321928719,0.0
-4.831348959362423,-1039.9941105730404,-1288.7821441019933,-1436.6155187146078,1671.7555971093825,0.0
-4.831249599640689,-1039.9941105730404,-1288.7821441019933,-1436.6155187146078,1671.7555971093825,0.0
