Biofluido,Experiment,Metabolite,HMDB,Concentration_ASICS,Concentration_GS,Diferenca_Absoluta,Erro_Percentual
Soro,20_1H,3-Hydroxybutyrate,HMDB00357,369.045752879066,11.7,357.345752879066,3054.24
Soro,20_1H,DehydroAscorbate,,369.564037452305,,,
Soro,20_1H,Betaine,HMDB00043,381.794306369773,10.3,371.49430636977297,3606.74
Soro,20_1H,D-Gluconate,,397.571412408273,,,
Soro,20_1H,Mannose,,399.746690981207,21.7,378.046690981207,1742.15
Soro,20_1H,Threonine,HMDB00167,424.429977910751,40.5,383.929977910751,947.98
Soro,20_1H,Galactose,,437.153420223248,,,
Soro,20_1H,Cystine,,443.223233314569,,,
Soro,20_1H,Lysine,HMDB00182,494.89023233393,51.1,443.79023233392996,868.47
Soro,20_1H,2-Aminobutyrate,,532.216649411859,5.0,527.216649411859,10544.33
Soro,20_1H,Fructose,HMDB00660,557.434630060092,,,
Soro,20_1H,Leucine,HMDB00687,632.875027645838,46.8,586.0750276458381,1252.3
Soro,20_1H,Alanine,HMDB00161,664.405527830335,131.6,532.805527830335,404.87
Soro,20_1H,Valine,HMDB00883,692.098258305608,74.6,617.498258305608,827.75
Soro,20_1H,Threitol,,695.052174035578,,,
Soro,20_1H,Glycerol,,709.905040989798,117.8,592.105040989798,502.64
Soro,20_1H,Glutamate,,819.942541987972,45.5,774.442541987972,1702.07
Soro,20_1H,Proline,,841.187765657753,60.3,780.887765657753,1295.0
Soro,20_1H,Glycine,HMDB00123,1035.15807112989,87.9,947.25807112989,1077.65
Soro,20_1H,Arginine,,1108.5246908635,58.9,1049.6246908634998,1782.05
Soro,20_1H,Glutamine,HMDB00641,1928.20923221238,140.6,1787.60923221238,1271.41
Soro,20_1H,Glycerate,,2064.89644682155,,,
Soro,20_1H,Lactate,HMDB00190,5523.55319448869,719.1,4804.453194488689,668.12
Soro,20_1H,Glucose,HMDB00122,6478.81665190145,1122.6,5356.21665190145,477.13
Soro,2_1H,2-Oxoglutarate,HMDB00208,0.0,3.0,3.0,100.0
Soro,2_1H,Acetate,HMDB00042,0.0,12.7,12.7,100.0
Soro,2_1H,Methionine,HMDB00696,0.0,8.6,8.6,100.0
Soro,2_1H,2-Hydroxybutyrate,,0.0,11.2,11.2,100.0
Soro,2_1H,Creatinine,HMDB00562,0.0,20.4,20.4,100.0
Soro,2_1H,Inosine,,0.0,1.3,1.3,100.0
Soro,2_1H,Maltose,,0.344159356473647,,,
Soro,2_1H,ATP,,0.377989124874369,,,
Soro,2_1H,Acetaminophen,,0.584256422590802,,,
Soro,2_1H,Sebacate,,1.20459469109345,,,
Soro,2_1H,Nicotinate,,2.07661021833891,,,
Soro,2_1H,Glycogen,,2.39813019436251,,,
Soro,2_1H,Carnosine,HMDB00033,2.6847889657719,,,
Soro,2_1H,Hypoxanthine,HMDB00157,2.69799385458819,3.8,1.10200614541181,29.0
Soro,2_1H,Adenosine,,2.93480766410105,,,
Soro,2_1H,Butyrate,HMDB00039,4.12321398406028,,,
Soro,2_1H,Acetone,HMDB01659,4.22722838246893,2.8,1.4272283824689298,50.97
Soro,2_1H,Kynurenate,,4.26475954309551,,,
Soro,2_1H,Dimethylglycine,,4.81463396697876,,,
Soro,2_1H,Trimethylamine,,5.02085458738244,,,
Soro,2_1H,Long-chain_alkane,,5.16480801882131,,,
Soro,2_1H,Oxypurinol,,5.17872439091291,,,
Soro,2_1H,2-Picolinate,,5.37340379509608,,,
Soro,2_1H,Azelaic ate,,5.45384804707214,,,
Soro,2_1H,1-Methylhydantoin,,5.6139647334989,,,
Soro,2_1H,Citraconate,,5.96442798559049,,,
Soro,2_1H,Valerate,,6.35052219843431,,,
Soro,2_1H,O-Acetyl-L-Carnitine,,6.5388416763404,,,
Soro,2_1H,Methylguanidine,,6.68451638715245,,,
Soro,2_1H,2-Deoxyadenosine,,6.78407628423828,,,
Soro,2_1H,Methylamine,,6.9326952557795,,,
Soro,2_1H,Tyrosine,HMDB00158,7.11506164708662,17.6,10.484938352913382,59.57
Soro,2_1H,Adenine,,7.12994706211897,,,
Soro,2_1H,Histidine,HMDB00177,7.1389305574582,27.9,20.7610694425418,74.41
Soro,2_1H,beta-Hydroxyisovalerate,,7.5963094385849,,,
Soro,2_1H,3-Methylxanthine,,8.15333465262865,,,
Soro,2_1H,Syringate,,9.53633514033869,,,
Soro,2_1H,1-Methyl-L-Histidine,,10.0858911458581,,,
Soro,2_1H,Glycolate,HMDB00115,10.1156440099839,,,
Soro,2_1H,Isobutyrate,,10.2331586138831,,,
Soro,2_1H,dAMP,,10.5815393312152,,,
